UserName,UserDate,UserInfo,ReviewTitle,Rating,RatingAttribute,ReviewContent,CreatedDate
Phương Trần,Đã tham gia 3 năm,"Đã viết
21 Đánh giá",Cực kì hài lòng,,,Đánh giá là 10/10 bởi vì dịch vụ ship tốt dịch vụ chất lượng sản phẩm tốt bao bì đóng gói đẹp đẽ gọn gàng. Nội dung là gu của mình và được đánh giá rất cao nên mọi người nên mua nhé,Đánh giá vào 9 ngày trướcĐã dùng 9 giờ
Nguyễn Nhất,Đã tham gia 4 năm,"Đã viết
4 Đánh giá",Cực kì hài lòng,,,"Giao nhanh thật sự. Bình thường phải hai ngày mà lần này chưa đầy 1 ngày. Mỗi tội sách đóng gói hơi sơ sài, mở ra hơi hụt hẫng, cảm giác không được tuyệt. Đặc biệt là tên tác giả trùng tên crush nên mua xem thử. Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 1 giờ
Kiều Trang,Đã tham gia 2 năm,"Đã viết
1 Đánh giá",Cực kì hài lòng,,,"Mình chọn giao trong 2 tiếng nên đặt có luôn. Shipper nói chuyện dễ thương, đóng gói ở ngoài hộp thì gọn gàng nhưng bên trong thì không có giấy bọc nên ship xa dễ hỏng sách :( Về nội dung thì mình thấy qua những phần mình đã đọc thì thường bàn luận về những vấn đề rất gần với cuộc sống, ổn, mình chưa đọc hết nên chỉ nhận xét thế thuii kekee Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 8 giờ
Đinh Trần Yến Nhi,Đã tham gia 4 năm,"Đã viết
1 Đánh giá",Cực kì hài lòng,,,"Nội dung sách rất hấp dẫn, mọi ng nên mua đọc hiểu hơn về các thủ thuật tâm lý. Ai giỏi nắm bắt tâm lý ng khác thì ng đó thắng. Có bookmark, bao bì kín do mình tự bao. Sách giao ko có vấn đề gì.",Đánh giá vào 2 năm trướcĐã dùng 2 giờ
Trần Ngọc Hân,Đã tham gia 3 năm,"Đã viết
43 Đánh giá",Cực kì hài lòng,,,"Đã nhận được sách sớm, có cả bookmark xinh xinh, cảm ơn Tiki",Đánh giá vào 8 tháng trướcĐã dùng 3 ngày
Lê Hạnh,Đã tham gia 3 năm,"Đã viết
56 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Sách hay, đi sâu vào từng tình huống thực tế để mọi người dễ hình dung. Cảm ơn tác giả, hy vọng sẽ có thể đọc thêm tác phẩm khác trong tương lai.",Đánh giá vào 2 năm trướcĐã dùng 10 ngày
Ryo Ken,Đã tham gia 7 năm,"Đã viết
4 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Sách đẹp,có kèm bookmark 💯
Vừa đọc qua lời mở đầu của sách thấy rất thu hút, cách viết của tác giả cũng gần gũi, dễ hiểu 💯",Đánh giá vào 2 năm trướcĐã dùng 10 giờ
Trúc Phương,Đã tham gia 2 năm,"Đã viết
109 Đánh giá",Cực kì hài lòng,,,cuốn này nghe review ok nên mua về tặng nhỏ bạn :D,Đánh giá vào 1 năm trướcĐã dùng 7 ngày
Alice T,Đã tham gia 7 năm,"Đã viết
18 Đánh giá",Cực kì hài lòng,,,"Mình đặt nhiều cuốn cùng 1 lúc may là tiki giao trong nội thành đóng gói ổn, tuy ko có bọc chống sốc nhưng có thêm mấy miếng bìa để sách ko bị va đập quá nhiều, nên thành phẩm nhận được ko bị cong sách. Rất thích tiki trading lẫn shipper dễ thương Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 9 ngày
Nguyễn Hoàng Nhật Phong,Đã tham gia 3 năm,"Đã viết
6 Đánh giá",Cực kì hài lòng,,,"Sách đẹp, giao nhanh, shipper thân thiện. Rất tốt",Đánh giá vào 1 năm trướcĐã dùng 1 giờ
Trần Hoàng,Đã tham gia 2 năm,"Đã viết
13 Đánh giá",Cực kì hài lòng,,,"ĐỪNG CỐ GẮNG TRANH CÃI VỚI NHỮNG CON NHÍM ĐANG XÙ LÔNG!

Trong các cuộc tranh luận và xung đột cũng vậy, giữ khoảng cách là một điều quan trọng. Cần phải đủ gần để hiểu và tôn trọng nhau, nhưng đủ xa để giữ được ranh giới giữa các cá nhân. Nếu nhận ra rằng đối phương là kiểu người “tranh luận để chiến thắng”, chúng ta nên kiên quyết rời khỏi cuộc tranh luận vô nghĩa vì những con nhím ấy không ở bên bạn để cùng nhau sưởi ấm!

---------------------------------------
""Không phải sói nhưng cũng đừng là cừu""
💚 Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 6 giờ
Năng Vũ,Đã tham gia 4 năm,"Đã viết
60 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Sách nói về những trở ngại và khóc khuất tâm lý con người dễ dính vào. Khá thú vị vì đây dường như là chính tâm tư và hy vọng của tác giả, vừa muốn đem lại kiến thức cho mọi người, vừa muốn tâm sự về chính mình. Phần đầu mình cho là không hấp dẫn lắm, sau khi đọc 1/3 trở đi thấy thú vị hơn nhiều Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 14 ngày
Namphuong Nam,Đã tham gia 5 năm,"Đã viết
55 Đánh giá",Cực kì hài lòng,,,"Đóng gói đẹp, chuyển phát nhanh. Ví dụ viết hay, cụ thể, các câu chuyện đưa ra dễ hấp thu",Đánh giá vào 2 năm trướcĐã dùng 3 ngày
Trn Quc Th,Đã tham gia 5 năm,"Đã viết
85 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi","Đẹp, hơi móp ở bìa sau nhưng mà chấp nhận đc, nó nằm trên kệ best seller trong Fahasha nên mình thử ""chịu"" ảnh hưởng của tâm lí đám đông mua thử xem sao :v",Đánh giá vào 2 năm trướcĐã dùng 8 ngày
Nguyễn Ngọc Hương,Đã tham gia 12 năm,"Đã viết
42 Đánh giá",Cực kì hài lòng,,,"Trong thời đại mà mọi thứ đều rất chóng vánh này, ranh giới giữa tốt và xấu, đúng và sai đôi lúc là không tồn tại.
Cái tốt mà chúng ta nghĩ, hóa ra lại là xấu trong mắt kẻ khác.
Cái đúng ở thời điểm này, đến một thời điểm khác lại trở thành sai.
Tốt đẹp hay xấu xa, thật khó phân định.
Cuốn sách đập tan những định kiến cũ kỹ, kiến tạo tư duy và giúp bạn xây dựng lại chính mình! Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 1 ngày
Nguyễn Yến Thương,Đã tham gia 2 năm,"Đã viết
2 Đánh giá",Cực kì hài lòng,,,"Nếu bạn đang tìm kiếm những nghiên cứu mang tính lịch sử về những yếu tố tạo nên những công ty chói lọi nhất hiện nay, bạn sẽ không thất vọng với công trình nghiên cứu này.”",Đánh giá vào 1 năm trướcĐã dùng 19 phút
Anbae,Đã tham gia 6 năm,"Đã viết
7 Đánh giá",Cực kì hài lòng,,,Giao siêu nhanh 2h trong nội thành lun. Đóng gói cũng đẹp chỉn chu nha. Sách đẹp bìa cứng xứng đáng giá tiền. Nội dung mình đọc r sẽ đánh giá sau nha,Đánh giá vào 8 tháng trướcĐã dùng 9 giờ
Nguyễn Thị Vân Anh,Đã tham gia 6 năm,"Đã viết
12 Đánh giá",Cực kì hài lòng,,,Về chất lượng sách thì khỏi bàn. Nhưng nếu về nội dung mình kh đánh giá cao cuốn này. Có chăng chỉ do cái tựa nó cuốn th à. Chứ nếu ai đã đọc thiên tài kẻ điên hoặc là đại dương đen thì cuốn này như cưỡi ngựa xem hoa chả thu đc gì! Thu gọn,Đánh giá vào 1 năm trướcĐã dùng 3 tháng
Mai Nguyễn,Đã tham gia 2 năm,"Đã viết
4 Đánh giá",Cực kì hài lòng,,,"vừa mua hôm trc hôm sau đã nhận đc sách,bìa và gáy sách k bị hỏng, rất đẹp. Màu giấy in hơi vàng đọc đỡ hại mắt, mực in cỡ chữ khá dễ nhìn.",Đánh giá vào 2 năm trướcĐã dùng 7 giờ
